ca_id	site_id	part_id	clust_leg	clust_te
845	115210	1	1	4
1838	115221	1	1	3
16120	5265	1	1	1
15937	5266	1	1	7
24870	15292	1	1	1
18034	2748	1	1	1
8750	15375	1	1	8
323	1017	1	1	1
3512	11783	1	1	8
1611	115148	1	1	5
8553	11895	1	1	1
775	6666	1	1	4
8571	11911	1	1	1
3559	12731	1	1	3
16018	5266	1	1	7
1632	115184	1	1	8
1705	115187	1	1	7
16046	5266	1	1	6
240	312	1	1	4
3519	11949	1	1	8
1825	115215	1	1	1
18276	1029	1	1	2
24086	5410	1	1	1
3801	5410	1	1	1
6737	2262	1	1	7
1709	115136	1	1	6
8580	11911	1	1	6
1654	115175	1	1	3
3524	12621	1	1	3
551	6684	1	1	4
17938	1968	1	1	2
8713	14062	1	1	8
18039	2748	1	1	1
6728	2262	1	1	7
1839	115174	1	1	6
8756	15375	1	1	8
3560	13906	1	1	8
11776	561	1	1	1
6875	83	1	1	7
12243	5266	1	1	7
17647	2737	1	1	4
209	209	1	1	1
6853	83	1	1	4
32	901	1	1	6
6751	2262	1	1	2
30146	303481	1	1	1
980142	1094	1	1	1
16093	5265	1	1	2
24982	14069	1	1	1
20156	12007	1	1	2
12230	5266	1	1	1
16121	115154	1	1	8
16056	5266	1	1	1
6735	2262	1	1	7
385	1013	1	1	5
17620	2486	1	1	7
50342	6405	1	1	7
45960	12007	1	1	4
24860	15292	1	1	1
61127	12007	1	1	6
1601	115129	1	1	2
8762	15375	1	1	5
3596	15565	1	1	8
8797	10634	1	1	8
8633	15621	1	1	8
17656	2737	1	1	1
3573	10574	1	1	8
106	313	1	1	4
8572	11911	1	1	6
16031	5266	1	1	1
1979	115152	1	1	1
1809	251391	1	1	7
1648	115211	1	1	8
6752	2262	1	1	2
9895	2192	1	1	2
16022	5266	1	1	1
1701	6665	1	1	4
17949	1968	1	1	1
3503	14016	1	1	8
8798	14222	1	1	4
12251	5266	1	1	6
3491	14272	1	1	8
24977	14069	1	1	1
1984	115117	1	1	4
3501	15302	1	1	8
24956	14069	1	1	2
3515	14791	1	1	8
1842	115110	1	1	4
1645	115113	1	1	7
24916	14069	1	1	1
379	1013	1	1	5
30161	303481	1	1	2
12252	5266	1	1	4
8720	15660	1	1	6
3497	13698	1	1	8
20650	5258	1	1	1
1598	115128	1	1	7
25002	15292	1	1	1
16141	5265	1	1	1
934	115121	1	1	4
3793	5410	1	1	1
20645	4248	1	1	2
18220	1015	1	1	2
21321	1015	1	1	2
50282	271	1	1	4
595	251151	1	1	6
6825	2737	1	1	7
6821	2737	1	1	4
1650	115207	1	1	8
3504	14016	1	1	8
17979	1968	1	1	1
383	1013	1	1	5
24928	14069	1	1	1
92705	11934	1	1	7
6741	2262	1	1	7
24855	15292	1	1	1
1963	115176	1	1	6
3555	12731	1	1	6
17986	1968	1	1	1
1059	1031	1	1	4
3550	11783	1	1	6
24071	5410	1	1	2
92699	11934	1	1	8
3808	5410	1	1	2
3544	11783	1	1	3
2089	13838	1	1	3
8842	15660	1	1	8
6864	83	1	1	2
8788	12062	1	1	6
16039	5266	1	1	1
581	6686	1	1	6
17875	5901	1	1	7
50290	271	1	1	7
16019	5266	1	1	1
1634	115112	1	1	4
431	1035	1	1	2
549	1080	1	1	5
92148	11934	1	1	6
6740	2262	1	1	7
8754	15375	1	1	3
1826	115140	1	1	7
423	1002	1	1	2
980091	1094	1	1	1
1894	115166	1	1	4
20149	12007	1	1	2
8790	12062	1	1	6
17971	1968	1	1	1
17890	5901	1	1	1
6756	840	1	1	7
16138	5265	1	1	1
1698	115162	1	1	7
409	1002	1	1	4
17741	120	1	1	1
15977	5266	1	1	4
61117	12007	1	1	1
8547	11148	1	1	3
61131	12007	1	1	3
6849	83	1	1	2
90	306	1	1	3
1754	6673	1	1	6
24833	15292	1	1	6
3502	12940	1	1	8
16012	5266	1	1	1
92695	11934	1	1	8
17894	5901	1	1	1
24054	2192	1	1	1
24061	5410	1	1	2
17769	120	1	1	7
8548	11148	1	1	3
100	6661	1	1	3
8626	14493	1	1	8
16035	5266	1	1	7
21309	322	1	1	4
3587	15565	1	1	6
1804	115146	1	1	3
3795	5410	1	1	1
76716	2113	1	1	1
6855	83	1	1	1
8844	15425	1	1	5
12241	5266	1	1	6
6796	2737	1	1	7
432	1035	1	1	4
12071	11146	1	1	3
3510	14229	1	1	8
560	1079	1	1	5
12250	5266	1	1	1
188	290	1	1	1
30150	303481	1	1	2
1424	142	4	1	1
16003	5266	1	1	1
17874	5901	1	1	1
8667	11911	1	1	1
1710	115182	1	1	8
11803	2192	1	1	1
6800	2737	1	1	2
433	1035	1	1	1
6851	83	1	1	3
8560	14524	1	1	1
20148	12007	1	1	2
66900	15561	1	1	6
154	1172	1	1	4
6852	83	1	1	7
3527	14674	1	1	1
8792	12062	1	1	6
15990	5266	1	1	4
182	1027	1	1	4
8665	15621	1	1	8
30152	303481	1	1	1
15979	5266	1	1	7
50252	271	1	1	4
9889	2192	1	1	1
1614	115119	1	1	8
17710	4205	1	1	1
980110	1094	1	1	6
109	115156	1	1	5
561	6676	1	1	4
980129	1094	1	1	1
156	281	1	1	7
394	1022	1	1	2
8742	13862	1	1	2
24853	15292	1	1	1
76721	5511	1	1	1
41335	5257	1	1	7
3810	5410	1	1	7
8544	11148	1	1	3
1431	143	1	1	1
18045	2748	1	1	1
16026	5266	1	1	7
8830	11395	1	1	6
16053	5266	1	1	7
24073	2192	1	1	1
96	6661	1	1	6
17760	120	1	1	1
547	6684	1	1	1
3598	15565	1	1	8
1331	115135	1	1	2
50230	271	1	1	7
17940	1968	1	1	1
3572	10574	1	1	6
6501	14234	1	1	5
980117	1094	1	1	1
92698	11934	1	1	3
15929	5266	1	1	4
16027	5266	1	1	4
8698	15424	1	1	1
17749	120	1	1	7
76754	5511	1	1	1
15934	5266	1	1	1
24867	15292	1	1	1
6818	2737	1	1	1
1434	143	4	1	1
15962	5266	1	1	7
64063	5901	1	1	4
92146	11934	1	1	6
24872	14069	1	1	1
106	115156	1	1	5
15950	5266	1	1	4
5203	1132	1	1	2
11780	561	1	1	1
755	6662	1	1	4
384	1013	1	1	8
1820	115188	1	1	4
12264	5266	1	1	7
3536	12557	1	1	1
3500	10537	1	1	8
465	1072	1	1	4
17937	1968	1	1	1
135	306	1	1	4
6736	2262	1	1	7
50288	271	1	1	7
12253	5266	1	1	6
12066	11146	1	1	6
414	1002	1	1	4
17649	2737	1	1	1
382	1013	1	1	5
15972	5266	1	1	7
8582	11911	1	1	6
18279	1034	1	1	2
92704	11934	1	1	4
12226	5266	1	1	1
1422	142	2	1	1
31	901	1	1	6
3494	14016	1	1	8
17731	2737	1	1	1
24983	14069	1	1	1
1633	115170	1	1	6
6859	83	1	1	4
980034	1094	1	1	1
947	1042	1	1	4
321	1020	1	1	3
17657	2737	1	1	1
30	901	1	1	6
15957	5266	1	1	1
6	901	1	1	1
327	1011	1	1	1
933	115126	1	1	5
6790	2737	1	1	1
980099	1094	1	1	1
24055	2192	1	1	1
104	306	1	1	4
50335	271	1	1	7
295	1112	1	1	5
15956	5266	1	1	4
9444	14490	1	1	1
92694	11934	1	1	3
9376	13367	1	1	1
1787	115216	1	1	6
3600	15565	1	1	8
17654	2737	1	1	1
8545	11148	1	1	3
16081	5265	1	1	1
841	115210	1	1	1
1664	115101	1	1	3
50275	271	1	1	1
8757	15375	1	1	8
1895	251391	1	1	4
17770	120	1	1	1
1953	1038	1	1	6
3526	10807	1	1	7
274	1042	1	1	7
20139	12007	1	1	2
1617	115194	1	1	3
3564	15945	1	1	4
9871	2192	1	1	1
8670	15621	1	1	1
6805	2737	1	1	1
15993	5266	1	1	7
20651	5258	1	1	1
1801	115122	1	1	6
24954	14069	1	1	1
24897	14069	1	1	1
3601	15565	1	1	6
1784	115109	1	1	1
1649	115178	1	1	4
546	6684	1	1	4
21287	318	1	1	2
8570	11911	1	1	5
16122	5265	1	1	1
94	6661	1	1	4
6858	83	1	1	7
375	1013	1	1	8
63064	2085	1	1	2
8712	10958	1	1	8
16047	5266	1	1	4
50296	271	1	1	7
108	115142	1	1	1
3499	11955	1	1	8
411	1002	1	1	4
3520	11956	1	1	3
3506	10225	1	1	8
6753	2262	1	1	7
6841	83	1	1	2
3522	14481	1	1	6
16006	5266	1	1	7
1432	143	2	1	1
24896	14069	1	1	1
6727	2262	1	1	1
8789	12062	1	1	6
415	1002	1	1	4
980089	1094	1	1	1
8587	11911	1	1	6
15959	5266	1	1	1
8662	15621	1	1	8
1602	115127	1	1	6
980038	1094	1	1	1
8625	14493	1	1	8
12245	5266	1	1	7
30137	303481	1	1	1
3505	14016	1	1	8
16082	5265	1	1	1
980057	1094	1	1	1
107	6661	1	1	4
373	1013	1	1	5
1636	115208	1	1	4
1423	142	3	1	1
980031	1094	1	1	1
16129	5265	1	1	1
3546	14434	1	1	6
1660	115111	1	1	4
3807	5410	1	1	2
929	1049	1	1	4
117	1042	1	1	1
15938	5266	1	1	7
1653	115218	1	1	8
8671	11911	1	1	8
8824	12378	1	1	6
50302	271	1	1	7
61134	10187	1	1	6
842	6675	1	1	8
1625	115107	1	1	3
137	294	1	1	4
24971	14069	1	1	1
61130	12007	1	1	6
111	1042	1	1	1
1435	143	5	1	1
18047	2748	1	1	4
88	6661	1	1	4
24881	14069	1	1	2
3589	15565	1	1	3
92	306	1	1	4
422	1002	1	1	4
8848	14676	1	1	1
376	1013	1	1	8
12257	5266	1	1	2
8724	15660	1	1	8
12231	5266	1	1	1
8787	12062	1	1	5
8752	15375	1	1	6
8765	15375	1	1	8
690	251181	1	1	4
24069	5410	1	1	2
8549	13099	1	1	5
24895	14069	1	1	2
1438	143	8	1	1
1621	115207	1	1	5
16000	5266	1	1	7
17887	5901	1	1	1
413	1002	1	1	2
6745	2262	1	1	7
129	306	1	1	4
15928	5266	1	1	5
895	115210	1	1	4
24082	5410	1	1	2
18068	2748	1	1	1
76719	2113	1	1	2
17948	1968	1	1	1
432	1079	1	1	1
8561	11911	1	1	6
3571	10574	1	1	8
1708	6674	1	1	6
418	1002	1	1	2
9999465	6667	1	1	6
92083	11934	1	1	6
6847	83	1	1	7
15946	5266	1	1	4
1612	115154	1	1	8
374	1013	1	1	2
3543	11783	1	1	3
8759	15375	1	1	1
16041	5266	1	1	4
174	287	1	1	2
61136	10187	1	1	6
333	1173	1	1	2
3496	15302	1	1	8
8791	12062	1	1	6
16127	5265	1	1	1
8550	13099	1	1	5
1663	115203	1	1	6
16150	5265	1	1	2
1656	115114	1	1	7
691	1209	1	1	7
183	1027	1	1	4
3590	15565	1	1	6
30145	303481	1	1	1
3570	10574	1	1	8
16037	5266	1	1	7
50338	6434	1	1	1
380	1013	1	1	5
1643	115212	1	1	5
24879	14069	1	1	1
1755	6673	1	1	5
24953	14069	1	1	1
17650	2737	1	1	1
604	115134	1	1	2
8796	11691	1	1	8
24074	2192	1	1	1
76723	5511	1	1	1
111	115179	1	1	1
3530	11325	1	1	7
91	306	1	1	4
516	1067	1	1	2
3563	14993	1	1	1
138	294	1	1	4
18280	1034	1	1	2
21294	318	1	1	4
3492	14016	1	1	8
63221	2356	1	1	4
31191	1106	1	1	1
3554	11783	1	1	3
12247	5266	1	1	2
1661	115116	1	1	7
421	1002	1	1	4
24075	2192	1	1	1
50243	271	1	1	1
17879	5901	1	1	3
16001	5266	1	1	7
24083	5410	1	1	1
297	1112	1	1	5
87	1042	1	1	1
24080	5410	1	1	1
3584	15565	1	1	3
377	1013	1	1	8
21320	1015	1	1	4
3537	13788	1	1	1
8832	10875	1	1	8
12238	5266	1	1	1
6809	2737	1	1	1
17643	2737	1	1	1
8585	11911	1	1	6
92147	11934	1	1	6
