ca_id	part_id	site_id	mclust	clust_hard	clust_col
980128	1	1094	3	4	2
980066	1	1094	3	4	2
133	1	1029	3	3	4
63222	1	3115	3	4	2
97	1	1042	3	4	4
980055	1	1094	3	4	4
1406	1	1009	3	3	4
980064	1	1094	3	4	4
980022	1	1094	3	4	2
166	1	1005	3	3	4
76724	1	5511	3	4	4
999995	1	1030	3	4	4
118	1	1042	3	4	4
980067	1	1094	3	4	4
107	1	1042	3	4	2
17898	1	5901	3	1	3
153	1	1005	3	3	3
14072	1	1009	3	3	4
980118	1	1094	3	4	2
980035	1	1094	3	4	4
980040	1	1094	3	4	4
17918	1	5901	3	1	3
205	1	1029	3	4	4
980063	1	1094	3	4	4
85	1	1042	3	4	2
371	1	1029	3	4	4
312	1	1014	3	4	2
29	1	901	3	4	2
30147	1	303481	3	4	4
525	1	1067	4	2	2
8	1	901	4	2	2
16	1	901	4	2	2
210	1	290	4	2	2
15	1	901	4	2	2
22	1	901	4	2	2
12	1	901	4	2	2
17	1	901	4	2	2
18	1	901	4	2	2
19	1	901	4	2	2
14	1	901	4	2	2
3	3	901	4	2	2
1012	1	1012	4	2	2
27	1	901	4	2	2
509	1	1040	4	2	2
9	1	901	4	2	2
13	1	901	4	2	2
49526	1	6213	6	1	1
24830	1	15292	6	4	3
234	1	310	6	3	3
487	1	1074	6	4	3
112	1	115213	6	1	1
247	1	305	6	3	3
334	1	1011	6	1	1
21278	1	318	6	3	3
6342	1	1009	6	3	3
701	1	1195	6	3	3
290	1	1042	6	3	3
433	1	1079	6	3	3
21290	1	318	6	1	1
257	1	282	6	3	3
49473	1	6240	6	4	3
2006	1	115225	6	1	1
620	1	1082	6	3	3
50323	1	271	6	4	3
5204	1	1132	6	1	1
980094	1	1094	6	3	1
5207	1	1134	6	3	3
147	1	302	6	3	3
496	1	1065	6	1	1
337	1	1010	6	1	1
18161	1	1029	6	3	3
108	1	304	6	1	1
175	1	285	6	4	3
390	1	1013	6	3	3
49488	1	6224	6	4	4
265	1	1127	6	3	1
57	1	1153	6	3	3
489	1	1074	6	3	1
332	1	1011	6	1	1
980028	1	1094	6	3	3
24905	1	14069	6	1	1
888	1	115210	6	1	1
980151	1	1094	6	1	1
171	1	1005	6	4	3
584	1	1088	6	4	4
4721	1	1188	6	3	3
15945	1	5266	6	3	3
17664	1	2737	6	1	1
50297	1	271	6	4	4
24826	1	15292	6	3	3
49483	1	6224	6	4	3
21311	1	322	6	1	1
136	1	1172	6	1	1
24090	1	5410	6	1	1
119	1	115115	6	1	1
16157	1	11000	6	3	3
18285	1	1034	6	4	3
50341	1	6405	6	1	1
607	1	1088	6	4	4
49524	1	6213	6	1	1
928	1	1049	6	1	1
49535	1	6213	6	4	3
90	1	6661	6	3	3
8741	1	13862	6	1	1
21327	1	1029	6	4	4
614	1	1091	6	3	3
