ca_id	site_id	part_id	clust_leg	clust_te
6872	83	1	1	10
3800	5410	1	1	3
17730	2737	1	1	1
8631	13994	1	1	4
9352	13970	1	1	6
3802	5410	1	1	10
550	1080	1	1	7
50329	271	1	1	10
429	1035	1	1	3
21299	317	1	1	8
18223	1015	1	1	8
1011	1093	1	1	6
1425	142	5	1	6
63256	2356	1	1	6
9160	14377	1	1	7
24085	5410	1	1	6
9371	14210	1	1	4
757	6662	1	1	5
76756	5511	1	1	2
1969	115167	1	1	6
398	1037	1	1	3
1968	115172	1	1	6
50295	271	1	1	10
24851	15292	1	1	8
492	1067	1	1	4
196	291	1	1	8
6729	2262	1	1	6
12242	5266	1	1	10
29963	15375	1	1	10
18031	2748	1	1	2
326	1011	1	1	2
8577	11911	1	1	6
463	1072	1	1	4
63239	2356	1	1	8
8578	11911	1	1	4
557	1079	1	1	5
15925	5266	1	1	2
402	1037	1	1	3
92696	11934	1	1	4
428	1035	1	1	5
322	1001	1	1	10
6840	83	1	1	10
1662	115196	1	1	8
24991	15292	1	1	8
1821	115141	1	1	10
15923	5266	1	1	6
20153	12007	1	1	3
980157	1095	1	1	2
16117	5265	1	1	1
3514	14791	1	1	7
24927	14069	1	1	3
103	6661	1	1	5
16163	12480	1	1	6
6856	83	1	1	8
8753	15375	1	1	4
15920	5266	1	1	7
1659	115102	1	1	7
1977	115214	1	1	4
17985	1968	1	1	3
1333	115144	1	1	8
8847	15425	1	1	6
3542	12455	1	1	4
8760	15375	1	1	7
8634	14493	1	1	7
1969	12581	1	1	7
11748	561	1	1	8
24265	2192	1	1	3
6743	2262	1	1	10
61133	12007	1	1	4
53502	1127	1	1	6
3796	5410	1	1	3
16016	5266	1	1	1
3558	12731	1	1	4
8546	11148	1	1	4
1627	115189	1	1	4
1975	115202	1	1	6
1666	115191	1	1	4
50292	271	1	1	10
3545	11783	1	1	4
324	1016	1	1	2
6815	2737	1	1	5
24907	14069	1	1	6
8576	11911	1	1	7
15961	5266	1	1	9
17655	2737	1	1	1
12261	5266	1	1	2
17959	1968	1	1	8
8823	12378	1	1	4
845	115210	1	1	8
1838	115221	1	1	4
16120	5265	1	1	8
15937	5266	1	1	10
24870	15292	1	1	6
18034	2748	1	1	6
8750	15375	1	1	7
323	1017	1	1	6
3512	11783	1	1	7
1611	115148	1	1	7
8553	11895	1	1	6
775	6666	1	1	5
8571	11911	1	1	8
3559	12731	1	1	4
16018	5266	1	1	8
1632	115184	1	1	7
1705	115187	1	1	8
16046	5266	1	1	4
240	312	1	1	5
3519	11949	1	1	7
1825	115215	1	1	2
18276	1029	1	1	7
24086	5410	1	1	10
3801	5410	1	1	6
6737	2262	1	1	10
1709	115136	1	1	4
8580	11911	1	1	4
1654	115175	1	1	4
3524	12621	1	1	4
551	6684	1	1	5
17938	1968	1	1	3
8713	14062	1	1	7
18039	2748	1	1	6
6728	2262	1	1	2
1839	115174	1	1	4
8756	15375	1	1	7
3560	13906	1	1	7
11776	561	1	1	8
6875	83	1	1	8
12243	5266	1	1	10
17647	2737	1	1	9
209	209	1	1	6
6853	83	1	1	5
32	901	1	1	7
6751	2262	1	1	3
30146	303481	1	1	2
980142	1094	1	1	6
16093	5265	1	1	3
24982	14069	1	1	6
20156	12007	1	1	5
12230	5266	1	1	1
16121	115154	1	1	7
16056	5266	1	1	1
6735	2262	1	1	8
385	1013	1	1	7
17620	2486	1	1	8
50342	6405	1	1	10
45960	12007	1	1	5
24860	15292	1	1	2
61127	12007	1	1	4
1601	115129	1	1	5
8762	15375	1	1	7
3596	15565	1	1	7
8797	10634	1	1	7
8633	15621	1	1	7
17656	2737	1	1	1
3573	10574	1	1	7
106	313	1	1	5
8572	11911	1	1	4
16031	5266	1	1	1
1979	115152	1	1	6
1809	251391	1	1	8
1648	115211	1	1	7
6752	2262	1	1	3
9895	2192	1	1	3
16022	5266	1	1	1
1701	6665	1	1	8
17949	1968	1	1	6
3503	14016	1	1	7
8798	14222	1	1	5
12251	5266	1	1	4
3491	14272	1	1	7
24977	14069	1	1	6
1984	115117	1	1	8
3501	15302	1	1	7
24956	14069	1	1	3
3515	14791	1	1	7
1842	115110	1	1	5
1645	115113	1	1	2
24916	14069	1	1	6
379	1013	1	1	7
30161	303481	1	1	3
12252	5266	1	1	10
8720	15660	1	1	4
3497	13698	1	1	7
20650	5258	1	1	6
1598	115128	1	1	10
25002	15292	1	1	2
16141	5265	1	1	1
934	115121	1	1	8
